tweet_id,source_x,rating_numerator,rating_denominator,name,Nickname,retweet_count,favorite_count,p1,p2,p3,created_at,hashtags
666020888022790149,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,10,None,None,532,2535,Welsh_springer_spaniel,collie,Shetland_sheepdog,2015-11-15 22:32:08+00:00,None
666029285002620928,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,10,a,None,48,132,redbone,miniature_pinscher,Rhodesian_ridgeback,2015-11-15 23:05:30+00:00,None
666033412701032449,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,a,None,47,128,German_shepherd,malinois,bloodhound,2015-11-15 23:21:54+00:00,None
666044226329800704,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6,10,a,None,147,311,Rhodesian_ridgeback,redbone,miniature_pinscher,2015-11-16 00:04:52+00:00,None
666049248165822465,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5,10,None,None,41,111,miniature_pinscher,Rottweiler,Doberman,2015-11-16 00:24:50+00:00,None
666050758794694657,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,a,None,60,136,Bernese_mountain_dog,English_springer,Greater_Swiss_Mountain_dog,2015-11-16 00:30:50+00:00,None
666051853826850816,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,10,an,None,879,1253,,,,2015-11-16 00:35:11+00:00,None
666055525042405380,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,a,None,261,448,chow,Tibetan_mastiff,,2015-11-16 00:49:46+00:00,None
666057090499244032,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,a,None,146,304,,,,2015-11-16 00:55:59+00:00,None
666058600524156928,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,10,the,None,61,115,miniature_poodle,komondor,soft-coated_wheaten_terrier,2015-11-16 01:01:59+00:00,None
666063827256086533,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,the,None,232,496,golden_retriever,Tibetan_mastiff,Labrador_retriever,2015-11-16 01:22:45+00:00,None
666071193221509120,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,None,None,67,154,Gordon_setter,Yorkshire_terrier,Pekinese,2015-11-16 01:52:02+00:00,None
666073100786774016,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,None,None,174,335,Walker_hound,English_foxhound,Ibizan_hound,2015-11-16 01:59:36+00:00,None
666082916733198337,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6,10,None,None,47,121,pug,bull_mastiff,French_bulldog,2015-11-16 02:38:37+00:00,None
666094000022159362,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,None,None,79,169,bloodhound,German_shepherd,malinois,2015-11-16 03:22:39+00:00,None
666099513787052032,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,10,None,None,73,164,Lhasa,Shih-Tzu,Dandie_Dinmont,2015-11-16 03:44:34+00:00,None
666102155909144576,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,10,None,None,16,81,English_setter,Newfoundland,borzoi,2015-11-16 03:55:04+00:00,None
666104133288665088,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,10,None,None,6871,14765,,,,2015-11-16 04:02:55+00:00,None
666268910803644416,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,None,None,37,108,,,,2015-11-16 14:57:41+00:00,None
666273097616637952,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,10,None,None,82,184,Italian_greyhound,toy_terrier,basenji,2015-11-16 15:14:19+00:00,None
666287406224695296,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1,2,an,None,71,152,Maltese_dog,toy_poodle,miniature_poodle,2015-11-16 16:11:11+00:00,None
666293911632134144,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3,10,a,None,368,522,,,,2015-11-16 16:37:02+00:00,None
666337882303524864,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,an,None,96,204,,Newfoundland,groenendael,2015-11-16 19:31:45+00:00,None
666345417576210432,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,None,None,146,307,golden_retriever,Chesapeake_Bay_retriever,Labrador_retriever,2015-11-16 20:01:42+00:00,None
666353288456101888,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,10,None,None,77,229,malamute,Siberian_husky,Eskimo_dog,2015-11-16 20:32:58+00:00,None
666362758909284353,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6,10,None,None,595,804,,,,2015-11-16 21:10:36+00:00,None
666373753744588802,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,10,None,None,100,194,soft-coated_wheaten_terrier,Afghan_hound,briard,2015-11-16 21:54:18+00:00,None
666396247373291520,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,None,None,92,172,Chihuahua,toy_terrier,papillon,2015-11-16 23:23:41+00:00,None
666407126856765440,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,10,a,None,44,113,black-and-tan_coonhound,bloodhound,flat-coated_retriever,2015-11-17 00:06:54+00:00,None
666411507551481857,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2,10,quite,None,339,459,,,,2015-11-17 00:24:19+00:00,None
666418789513326592,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,Walter,None,48,129,toy_terrier,papillon,Chihuahua,2015-11-17 00:53:15+00:00,None
666421158376562688,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",12,10,None,None,118,327,Blenheim_spaniel,cocker_spaniel,Shih-Tzu,2015-11-17 01:02:40+00:00,None
666428276349472768,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,10,None,None,90,171,Pembroke,chow,Pomeranian,2015-11-17 01:30:57+00:00,None
666430724426358785,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6,10,None,None,204,330,,,,2015-11-17 01:40:41+00:00,None
666435652385423360,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,None,None,54,170,,,,2015-11-17 02:00:15+00:00,None
666437273139982337,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7,10,None,None,52,131,Chihuahua,beagle,Saluki,2015-11-17 02:06:42+00:00,None
666447344410484738,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,Scout,None,23,107,curly-coated_retriever,giant_schnauzer,Labrador_retriever,2015-11-17 02:46:43+00:00,None
666454714377183233,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,Kreggory,None,223,545,dalmatian,Labrador_retriever,Great_Pyrenees,2015-11-17 03:16:00+00:00,None
666644823164719104,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,10,Jimothy,None,88,238,Ibizan_hound,Pembroke,West_Highland_white_terrier,2015-11-17 15:51:26+00:00,None
666649482315059201,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",4,10,None,None,608,923,Border_collie,English_springer,collie,2015-11-17 16:09:56+00:00,None
666691418707132416,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,10,Christoper,None,51,196,German_shepherd,beagle,bloodhound,2015-11-17 18:56:35+00:00,None
666701168228331520,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",8,10,a,None,234,449,Labrador_retriever,Chihuahua,French_bulldog,2015-11-17 19:35:19+00:00,None
666739327293083650,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,10,Lugan,None,71,244,miniature_poodle,cocker_spaniel,toy_poodle,2015-11-17 22:06:57+00:00,None
666776908487630848,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5,10,Josep,None,186,368,,miniature_pinscher,Chihuahua,2015-11-18 00:36:17+00:00,None
